chr	start	stop	transcript_id	gene_name	gene_id	pfam_exons	pfam_id	info	transcript_num	total_exons	exon_size	avg_exon_size	total_nucleotides	proportion_total	total_transcript_num	transcript_proportion	hotspot_3d_exon_num	hotspot_exon_num	gc_content
3	41225334	41225572	ENST00000349496 | ENST00000645982 | ENST00000646725 | ENST00000645276 | ENST00000450969 | ENST00000645210 | ENST00000405570 | ENST00000643031 | ENST00000642992 | ENST00000642315 | ENST00000646369 | ENST00000647390 | ENST00000644867 | ENST00000643977 | ENST00000433400 | ENST00000645320 | ENST00000643541 | ENST00000396183 | ENST00000642248 | ENST00000643992 | ENST00000643297 | ENST00000396185 | ENST00000644873 | ENST00000431914 | ENST00000642426 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	1	PF00514	3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o	27	14	239	167.79	2349	1.11651385304225	27	1	0	17	0.472803347280335
3	41225660	41225861	ENST00000349496 | ENST00000645982 | ENST00000646725 | ENST00000645276 | ENST00000450969 | ENST00000645210 | ENST00000405570 | ENST00000643031 | ENST00000642992 | ENST00000642315 | ENST00000646369 | ENST00000647390 | ENST00000644867 | ENST00000643977 | ENST00000433400 | ENST00000645320 | ENST00000643541 | ENST00000396183 | ENST00000642248 | ENST00000643992 | ENST00000643297 | ENST00000396185 | ENST00000644873 | ENST00000431914 | ENST00000642426 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	1	PF00514	3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o	27	14	202	167.79	2349	1.11651385304225	27	1	0	14	0.400990099009901
3	41227208	41227352	ENST00000349496 | ENST00000645982 | ENST00000646725 | ENST00000645276 | ENST00000450969 | ENST00000645210 | ENST00000405570 | ENST00000643031 | ENST00000642992 | ENST00000642315 | ENST00000646369 | ENST00000647390 | ENST00000644867 | ENST00000643977 | ENST00000433400 | ENST00000645320 | ENST00000643541 | ENST00000396183 | ENST00000642248 | ENST00000643992 | ENST00000643297 | ENST00000396185 | ENST00000644873 | ENST00000431914 | ENST00000642426 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	1	PF00514	3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o	27	14	145	167.79	2349	1.11651385304225	27	1	0	22	0.441379310344828
3	41233341	41233444	ENST00000349496 | ENST00000645982 | ENST00000646725 | ENST00000645276 | ENST00000450969 | ENST00000645210 | ENST00000405570 | ENST00000643031 | ENST00000642992 | ENST00000642315 | ENST00000646369 | ENST00000647390 | ENST00000644867 | ENST00000643977 | ENST00000433400 | ENST00000645320 | ENST00000643541 | ENST00000396183 | ENST00000642248 | ENST00000643992 | ENST00000643297 | ENST00000396185 | ENST00000644873 | ENST00000431914 | ENST00000642426 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	1	PF00514	3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o	27	14	104	167.79	2349	1.11651385304225	27	1	0	15	0.442307692307692
3	41233529	41233867	ENST00000349496 | ENST00000645982 | ENST00000646725 | ENST00000645276 | ENST00000450969 | ENST00000645210 | ENST00000405570 | ENST00000643031 | ENST00000642992 | ENST00000642315 | ENST00000646369 | ENST00000647390 | ENST00000644867 | ENST00000643977 | ENST00000433400 | ENST00000645320 | ENST00000643541 | ENST00000396183 | ENST00000642248 | ENST00000643992 | ENST00000643297 | ENST00000396185 | ENST00000644873 | ENST00000431914 | ENST00000642426 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	1	PF00514	3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o	27	14	339	167.79	2349	1.11651385304225	27	1	0	34	0.495575221238938
3	41235724	41235843	ENST00000349496 | ENST00000645982 | ENST00000646725 | ENST00000645276 | ENST00000450969 | ENST00000645210 | ENST00000405570 | ENST00000643031 | ENST00000642992 | ENST00000642315 | ENST00000646369 | ENST00000647390 | ENST00000644867 | ENST00000643977 | ENST00000433400 | ENST00000645320 | ENST00000643541 | ENST00000396183 | ENST00000642248 | ENST00000643992 | ENST00000643297 | ENST00000396185 | ENST00000644873 | ENST00000431914 | ENST00000642426 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	2	PF00514	3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235727-41235843 - s3 | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o	27	14	120	167.79	2349	1.11651385304225	27	1	0	19	0.475
3	41236349	41236499	ENST00000349496 | ENST00000645982 | ENST00000646725 | ENST00000645276 | ENST00000450969 | ENST00000645210 | ENST00000405570 | ENST00000643031 | ENST00000642992 | ENST00000642315 | ENST00000646369 | ENST00000647390 | ENST00000644867 | ENST00000643977 | ENST00000433400 | ENST00000645320 | ENST00000643541 | ENST00000396183 | ENST00000642248 | ENST00000643992 | ENST00000643297 | ENST00000396185 | ENST00000644873 | ENST00000431914 | ENST00000642426 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	1	PF00514	3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o | 3:41236349-41236499 - o	27	14	151	167.79	2349	1.11651385304225	27	1	0	18	0.490066225165563
3	41224069	41224081	ENST00000645982 | ENST00000646725 | ENST00000645276 | ENST00000450969 | ENST00000645210 | ENST00000405570 | ENST00000643031 | ENST00000642992 | ENST00000642315 | ENST00000646369 | ENST00000647390 | ENST00000644867 | ENST00000643977 | ENST00000433400 | ENST00000645320 | ENST00000643541 | ENST00000396183 | ENST00000642248 | ENST00000643992 | ENST00000643297 | ENST00000396185 | ENST00000644873 | ENST00000431914 | ENST00000642426 | ENST00000441708	CTNNB1	ENSG00000168036	0	NA	3:41224069-41224081 | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o	25	14	13	167.79	2349	1.11651385304225	27	0.925925925925926	0	0	0.461538461538462
3	41224954	41225207	ENST00000645982 | ENST00000646725 | ENST00000645276 | ENST00000450969 | ENST00000645210 | ENST00000405570 | ENST00000643031 | ENST00000642992 | ENST00000642315 | ENST00000646369 | ENST00000647390 | ENST00000644867 | ENST00000643977 | ENST00000433400 | ENST00000645320 | ENST00000643541 | ENST00000396183 | ENST00000642248 | ENST00000643992 | ENST00000643297 | ENST00000396185 | ENST00000644873 | ENST00000431914 | ENST00000642426 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	0	NA	3:41224954-41225207 | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o	26	14	254	167.79	2349	1.11651385304225	27	0.962962962962963	0	0	0.456692913385827
3	41234139	41234297	ENST00000645982 | ENST00000646725 | ENST00000645276 | ENST00000450969 | ENST00000645210 | ENST00000405570 | ENST00000643031 | ENST00000642992 | ENST00000642315 | ENST00000646369 | ENST00000647390 | ENST00000644867 | ENST00000643977 | ENST00000433400 | ENST00000645320 | ENST00000643541 | ENST00000396183 | ENST00000642248 | ENST00000643992 | ENST00000643297 | ENST00000396185 | ENST00000644873 | ENST00000431914 | ENST00000642426 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	0	NA	3:41234139-41234297 | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o	26	14	159	167.79	2349	1.11651385304225	27	0.962962962962963	0	0	0.522012578616352
